GCnum,date,time,compound,retention,area,height,sample,batch,ppm,redo,unique_batch
ecd01.CHR,12/9/20,10:43:50,N2O,1.406,16.3848,2.544,Mix1,1,0.301,,1_12/09/20
ecd02.CHR,12/9/20,10:49:01,N2O,1.41,102.9004,15.448,Mix2,1,2.046,,1_12/09/20
ecd03.CHR,12/9/20,10:54:13,N2O,1.406,614.5524,88.838,Mix3,1,16.66,,1_12/09/20
ecd04.CHR,12/9/20,11:01:51,N2O,1.41,2.7848,0.407,Amb,1,,,1_12/09/20
ecd05.CHR,12/9/20,11:07:02,N2O,1.406,1.281,0.216,Amb,1,,,1_12/09/20
ecd06.CHR,12/9/20,11:12:14,N2O,1.41,1.339,0.209,Amb,1,,,1_12/09/20
ecd07.CHR,12/9/20,11:17:26,N2O,1.4,1.7556,0.289,C1-0,1,,,1_12/09/20
ecd08.CHR,12/9/20,11:22:39,N2O,1.406,3.4292,0.567,401-45,1,,,1_12/09/20
ecd09.CHR,12/9/20,11:28:40,N2O,1.413,4.2292,0.669,402-45,1,,,1_12/09/20
ecd10.CHR,12/9/20,11:34:31,N2O,1.406,3.5214,0.58,403-45,1,,,1_12/09/20
ecd11.CHR,12/9/20,11:39:43,N2O,1.406,2.8304,0.459,404-45,1,,,1_12/09/20
ecd12.CHR,12/9/20,11:44:55,N2O,1.416,2.6718,0.441,405-45,1,,,1_12/09/20
ecd13.CHR,12/9/20,11:50:08,N2O,1.406,2.8816,0.476,406-45,1,,,1_12/09/20
ecd14.CHR,12/9/20,11:55:19,N2O,1.41,3.6632,0.592,407-45,1,,,1_12/09/20
ecd15.CHR,12/9/20,12:00:36,N2O,1.41,3.5908,0.591,408-45,1,,,1_12/09/20
ecd16.CHR,12/9/20,12:05:48,N2O,1.413,5.1448,0.837,409-45,1,,,1_12/09/20
ecd17.CHR,12/9/20,12:12:00,N2O,1.413,4.53,0.712,410-45,1,,,1_12/09/20
ecd18.CHR,12/9/20,12:17:45,N2O,1.406,3.5026,0.561,411-45,1,,,1_12/09/20
ecd19.CHR,12/9/20,12:23:14,N2O,1.413,2.9696,0.496,412-45,1,,,1_12/09/20
ecd20.CHR,12/9/20,12:28:25,N2O,1.416,5.2964,0.856,413-45,1,,,1_12/09/20
ecd21.CHR,12/9/20,12:33:38,N2O,1.416,4.7772,0.774,414-45,1,,,1_12/09/20
ecd22.CHR,12/9/20,12:38:50,N2O,1.42,5.1068,0.827,415-45,1,,,1_12/09/20
ecd23.CHR,12/9/20,12:44:02,N2O,1.41,2.3768,0.378,C1-45,1,,,1_12/09/20
ecd24.CHR,12/9/20,12:49:14,N2O,1.416,8.5924,1.36,401-90,1,,,1_12/09/20
ecd25.CHR,12/9/20,12:56:08,N2O,1.416,9.014,1.448,402-90,1,,,1_12/09/20
ecd26.CHR,12/9/20,13:01:20,N2O,1.413,6.476,1.072,403-90,1,,,1_12/09/20
ecd27.CHR,12/9/20,13:06:32,N2O,1.416,6.6548,1.074,404-90,1,,,1_12/09/20
ecd28.CHR,12/9/20,13:11:45,N2O,1.413,5.8314,0.934,405-90,1,,,1_12/09/20
ecd29.CHR,12/9/20,13:16:57,N2O,1.416,4.7496,0.788,406-90,1,,,1_12/09/20
ecd30.CHR,12/9/20,13:22:09,N2O,1.42,7.018,1.151,407-90,1,,,1_12/09/20
ecd31.CHR,12/9/20,13:27:22,N2O,1.413,5.0988,0.839,408-90,1,,,1_12/09/20
ecd32.CHR,12/9/20,13:32:34,N2O,1.416,5.828,0.947,409-90,1,,,1_12/09/20
ecd33.CHR,12/9/20,13:37:46,N2O,1.416,7.7198,1.261,410-90,1,,,1_12/09/20
ecd34.CHR,12/9/20,13:42:59,N2O,1.416,6.3316,1.03,411-90,1,,,1_12/09/20
ecd35.CHR,12/9/20,13:48:11,N2O,1.423,5.0412,0.816,412-90,1,,,1_12/09/20
ecd36.CHR,12/9/20,13:53:24,N2O,1.416,9.744,1.56,413-90,1,,,1_12/09/20
ecd37.CHR,12/9/20,13:58:36,N2O,1.42,8.801,1.422,414-90,1,,,1_12/09/20
ecd38.CHR,12/9/20,14:03:49,N2O,1.42,10.1368,1.656,415-90,1,,,1_12/09/20
ecd39.CHR,12/9/20,14:09:01,N2O,1.42,4.701,0.772,C1-90,1,,,1_12/09/20
ecd40.CHR,12/9/20,14:14:14,N2O,1.416,15.1846,2.464,416-45,1,,,1_12/09/20
ecd41.CHR,12/9/20,14:19:26,N2O,1.423,11.211,1.84,417-45,1,,,1_12/09/20
ecd42.CHR,12/9/20,14:24:39,N2O,1.42,9.3826,1.539,418-45,1,,,1_12/09/20
ecd43.CHR,12/9/20,14:29:51,N2O,1.42,8.668,1.422,419-45,1,,,1_12/09/20
ecd44.CHR,12/9/20,14:35:03,N2O,1.42,11.5596,1.889,420-45,1,,,1_12/09/20
ecd45.CHR,12/9/20,14:40:16,N2O,1.42,9.862,1.632,421-45,1,,,1_12/09/20
ecd46.CHR,12/9/20,14:45:28,N2O,1.42,4.2536,0.686,422-45,1,,,1_12/09/20
ecd47.CHR,12/9/20,14:50:41,N2O,1.423,8.9836,1.465,423-45,1,,,1_12/09/20
ecd48.CHR,12/9/20,14:55:53,N2O,1.42,7.6964,1.253,424-45,1,,,1_12/09/20
ecd49.CHR,12/9/20,15:01:06,N2O,1.42,5.0876,0.841,425-45,1,,,1_12/09/20
ecd50.CHR,12/9/20,15:06:18,N2O,1.413,7.0462,1.138,426-45,1,,,1_12/09/20
ecd51.CHR,12/9/20,15:11:31,N2O,1.426,19.8668,3.004,Mix1,1,0.301,,2_12/09/20
ecd52.CHR,12/9/20,15:16:43,N2O,1.423,119.6844,17.476,Mix2,1,2.046,,2_12/09/20
ecd53.CHR,12/9/20,15:21:56,N2O,1.426,672.5344,94.976,Mix3,1,16.66,,2_12/09/20
ecd54.CHR,12/9/20,16:09:43,N2O,1.42,11.5652,1.875,427-45,1,,,2_12/09/20
ecd55.CHR,12/9/20,16:14:55,N2O,1.423,4.654,0.771,428-45,1,,,2_12/09/20
ecd56.CHR,12/9/20,16:20:07,N2O,1.42,5.6004,0.915,429-45,1,,,2_12/09/20
ecd57.CHR,12/9/20,16:25:19,N2O,1.423,5.3706,0.88,430-45,1,,,2_12/09/20
ecd58.CHR,12/9/20,16:30:31,N2O,1.42,34.4188,5.542,416-90,1,,,2_12/09/20
ecd59.CHR,12/9/20,16:35:43,N2O,1.426,25.7648,4.185,417-90,1,,,2_12/09/20
ecd60.CHR,12/9/20,16:40:55,N2O,1.423,19.3704,3.13,418-90,1,,,2_12/09/20
ecd61.CHR,12/9/20,16:46:07,N2O,1.423,20.0694,3.251,419-90,1,,,2_12/09/20
ecd62.CHR,12/9/20,16:51:20,N2O,1.423,29.4916,4.764,420-90,1,,,2_12/09/20
ecd63.CHR,12/9/20,16:56:32,N2O,1.426,20.0448,3.248,421-90,1,,,2_12/09/20
ecd64.CHR,12/9/20,17:01:45,N2O,1.42,7.2928,1.185,422-90,1,,,2_12/09/20
ecd65.CHR,12/9/20,17:06:57,N2O,1.426,14.9656,2.429,423-90,1,,,2_12/09/20
ecd66.CHR,12/9/20,17:12:10,N2O,1.423,14.8238,2.409,424-90,1,,,2_12/09/20
ecd67.CHR,12/9/20,17:17:22,N2O,1.423,10.162,1.66,425-90,1,,,2_12/09/20
ecd68.CHR,12/9/20,17:22:35,N2O,1.423,17.0472,2.774,426-90,1,,,2_12/09/20
ecd69.CHR,12/9/20,17:27:47,N2O,1.423,48.9364,5.077,427-90,1,,,2_12/09/20
ecd70.CHR,12/9/20,17:33:00,N2O,1.42,33.1212,2.518,428-90,1,,,2_12/09/20
ecd71.CHR,12/9/20,17:38:12,N2O,1.426,17.7084,2.874,429-90,1,,,2_12/09/20
ecd72.CHR,12/9/20,17:43:25,N2O,1.426,10.9796,1.785,430-90,1,,,2_12/09/20
ecd73.CHR,12/9/20,17:48:38,N2O,1.423,2.0456,0.334,C2-0,1,,,2_12/09/20
ecd74.CHR,12/9/20,17:53:50,N2O,1.426,4.9576,0.814,431-45,1,,,2_12/09/20
ecd75.CHR,12/9/20,17:59:02,N2O,1.426,8.762,1.414,432-45,1,,,2_12/09/20
ecd76.CHR,12/9/20,18:04:14,N2O,1.426,5.0088,0.838,433-45,1,,,2_12/09/20
ecd77.CHR,12/9/20,18:09:26,N2O,1.426,10.5238,1.716,434-45,1,,,2_12/09/20
ecd78.CHR,12/9/20,18:14:38,N2O,1.423,8.0622,1.319,435-45,1,,,2_12/09/20
ecd79.CHR,12/9/20,18:19:50,N2O,1.423,15.0716,2.452,436-45,1,,,2_12/09/20
ecd80.CHR,12/9/20,18:25:02,N2O,1.423,6.1328,1.017,437-45,1,,,2_12/09/20
ecd81.CHR,12/9/20,18:30:15,N2O,1.423,10.1304,1.653,438-45,1,,,2_12/09/20
ecd82.CHR,12/9/20,18:35:27,N2O,1.416,5.0724,0.826,439-45,1,,,2_12/09/20
ecd83.CHR,12/9/20,18:40:39,N2O,1.426,7.766,1.26,440-45,1,,,2_12/09/20
ecd84.CHR,12/9/20,18:45:52,N2O,1.423,4.6076,0.738,441-45,1,,,2_12/09/20
ecd85.CHR,12/9/20,18:51:04,N2O,1.42,3.3164,0.561,442-45,1,,,2_12/09/20
ecd86.CHR,12/9/20,18:56:16,N2O,1.423,3.3648,0.55,443-45,1,,,2_12/09/20
ecd87.CHR,12/9/20,19:01:29,N2O,1.423,5.66,0.938,444-45,1,,,2_12/09/20
ecd88.CHR,12/9/20,19:06:41,N2O,1.43,6.3982,1.054,445-45,1,,,2_12/09/20
ecd89.CHR,12/9/20,19:11:53,N2O,1.426,3.7672,0.614,C2-45,1,,,2_12/09/20
ecd90.CHR,12/9/20,19:17:06,N2O,1.426,11.3596,1.869,431-90,1,,,2_12/09/20
ecd91.CHR,12/9/20,19:22:18,N2O,1.426,23.3222,3.774,432-90,1,,,2_12/09/20
ecd92.CHR,12/9/20,19:27:30,N2O,1.423,13.8752,2.233,433-90,1,,,2_12/09/20
ecd93.CHR,12/9/20,19:32:43,N2O,1.426,29.3936,4.736,434-90,1,,,2_12/09/20
ecd94.CHR,12/9/20,19:37:55,N2O,1.423,21.3076,3.451,435-90,1,,,2_12/09/20
ecd95.CHR,12/9/20,19:43:07,N2O,1.426,69.8648,8.044,436-90,1,,,2_12/09/20
ecd96.CHR,12/9/20,19:48:20,N2O,1.426,14.0864,2.293,437-90,1,,,2_12/09/20
ecd97.CHR,12/9/20,19:53:32,N2O,1.43,26.6818,4.316,438-90,1,,,2_12/09/20
ecd98.CHR,12/9/20,19:58:44,N2O,1.426,34.3564,2.622,439-90,1,,,2_12/09/20
ecd99.CHR,12/9/20,20:03:57,N2O,1.426,23.4168,3.773,440-90,1,,,2_12/09/20
ecd100.CHR,12/9/20,20:09:09,N2O,1.43,10.9224,1.783,441-90,1,,,2_12/09/20
ecd101.CHR,12/9/20,20:14:22,N2O,1.436,21.1224,3.167,Mix1,1,0.301,,3_12/09/20
ecd102.CHR,12/9/20,20:19:34,N2O,1.433,117.3658,17.043,Mix2,1,2.046,,3_12/09/20
ecd103.CHR,12/9/20,20:24:47,N2O,1.43,671.7906,94.368,Mix3,1,16.66,,3_12/09/20
ecd104.CHR,12/10/20,9:50:05,N2O,1.433,7.6188,1.229,442-90,1,,,3_12/09/20
ecd105.CHR,12/10/20,9:55:17,N2O,1.43,7.6108,1.225,443-90,1,,,3_12/09/20
ecd106.CHR,12/10/20,10:00:29,N2O,1.436,42.5572,3.464,444-90,1,,,3_12/09/20
ecd107.CHR,12/10/20,10:05:42,N2O,1.433,13.5248,2.204,445-90,1,,,3_12/09/20
ecd108.CHR,12/10/20,10:10:54,N2O,1.436,3.46,0.552,C2-90,1,,,3_12/09/20
ecd109.CHR,12/10/20,10:16:07,N2O,1.433,1.8892,0.299,C3-0,1,,,3_12/09/20
ecd110.CHR,12/10/20,10:22:02,N2O,1.44,6.7384,1.086,446-45,1,,,3_12/09/20
ecd111.CHR,12/10/20,10:27:56,N2O,1.44,8.6712,1.409,447-45,1,,,3_12/09/20
ecd112.CHR,12/10/20,10:33:09,N2O,1.436,5.5656,0.897,448-45,1,,,3_12/09/20
ecd113.CHR,12/10/20,10:39:18,N2O,1.436,38.3552,2.858,449-45,1,,,3_12/09/20
ecd114.CHR,12/10/20,10:45:32,N2O,1.436,10.1488,1.611,450-45,1,,,3_12/09/20
ecd115.CHR,12/10/20,10:52:53,N2O,1.44,44.516,4.13,451-45,1,,,3_12/09/20
ecd116.CHR,12/10/20,11:02:22,N2O,1.436,8.4888,1.374,452-45,1,,,3_12/09/20
ecd117.CHR,12/10/20,11:08:27,N2O,1.433,13.3876,2.157,453-45,1,,,3_12/09/20
ecd118.CHR,12/10/20,11:16:54,N2O,1.44,8.4,1.337,454-45,1,,,3_12/09/20
ecd119.CHR,12/10/20,11:22:06,N2O,1.44,51.2664,4.539,455-45,1,,,3_12/09/20
ecd120.CHR,12/10/20,11:27:19,N2O,1.433,8.6748,1.412,456-45,1,,,3_12/09/20
ecd121.CHR,12/10/20,11:32:32,N2O,1.436,2.278,0.355,C3-45,1,,,3_12/09/20
ecd122.CHR,12/10/20,11:37:45,N2O,1.436,18.1258,2.909,446-90,1,,,3_12/09/20
ecd123.CHR,12/10/20,11:42:58,N2O,1.44,26.9534,4.31,447-90,1,,,3_12/09/20
ecd124.CHR,12/10/20,11:48:11,N2O,1.433,8.8992,1.411,448-90,1,,,3_12/09/20
ecd125.CHR,12/10/20,11:53:23,N2O,1.433,35.2504,5.671,449-90,1,,,3_12/09/20
ecd126.CHR,12/10/20,11:58:36,N2O,1.436,20.2652,3.257,450-90,1,,,3_12/09/20
ecd127.CHR,12/10/20,12:03:48,N2O,1.436,58.9684,9.333,451-90,1,,,3_12/09/20
ecd128.CHR,12/10/20,12:09:01,N2O,1.44,23.1092,3.71,452-90,1,,,3_12/09/20
ecd129.CHR,12/10/20,12:14:13,N2O,1.436,67.4566,6.818,453-90,1,,,3_12/09/20
ecd130.CHR,12/10/20,12:19:26,N2O,1.44,19.2926,3.103,454-90,1,,,3_12/09/20
ecd131.CHR,12/10/20,12:24:39,N2O,1.436,85.4156,9.928,455-90,1,,,3_12/09/20
ecd132.CHR,12/10/20,12:29:52,N2O,1.44,18.6328,2.999,456-90,1,,,3_12/09/20
ecd133.CHR,12/10/20,12:35:04,N2O,1.436,5.3118,0.852,C3-90,1,,,3_12/09/20
ecd04.CHR,12/9/20,11:01:51,N2O,1.41,2.7848,0.407,Amb,1,,,2_12/09/20
ecd05.CHR,12/9/20,11:07:02,N2O,1.406,1.281,0.216,Amb,1,,,2_12/09/20
ecd06.CHR,12/9/20,11:12:14,N2O,1.41,1.339,0.209,Amb,1,,,2_12/09/20
ecd04.CHR,12/9/20,11:01:51,N2O,1.41,2.7848,0.407,Amb,1,,,3_12/09/20
ecd05.CHR,12/9/20,11:07:02,N2O,1.406,1.281,0.216,Amb,1,,,3_12/09/20
ecd06.CHR,12/9/20,11:12:14,N2O,1.41,1.339,0.209,Amb,1,,,3_12/09/20